sequence	command	artifact	exit_status	captured_at_utc
1	date -Is	inventory-artifacts/20260923T004022Z/commands/0001-date-Is.txt	0	2026-09-23T00:40:36Z
2	readlink -f /home/rpp/rpp_ws	inventory-artifacts/20260923T004022Z/commands/0002-readlink-fhomerpprpp_ws.txt	0	2026-09-23T00:40:36Z
3	stat -c '%U:%G %a %n' /opt/ros/humble/setup.bash /home/rpp/rpp_ws/install/setup.bash	inventory-artifacts/20260923T004022Z/commands/0003-stat-cUGanoptroshumblesetup.bashhomerpprpp_wsins.txt	0	2026-09-23T00:40:36Z
4	source /opt/ros/humble/setup.bash	inventory-artifacts/20260923T004022Z/commands/0004-sourceoptroshumblesetup.bash.txt	0	2026-09-23T00:41:13Z
5	source /home/rpp/rpp_ws/install/setup.bash	inventory-artifacts/20260923T004022Z/commands/0005-sourcehomerpprpp_wsinstallsetup.bash.txt	0	2026-09-23T00:41:14Z
6	source /opt/ros/humble/setup.bash; source /home/rpp/rpp_ws/install/setup.bash; printenv ROS_DOMAIN_ID ROS_LOCALHOST_ONLY	inventory-artifacts/20260923T004022Z/commands/0006-sourceoptroshumblesetup.bashsourcehomerpprpp_wsi.txt	1	2026-09-23T00:41:14Z
7	source /opt/ros/humble/setup.bash; source /home/rpp/rpp_ws/install/setup.bash; timeout 10s ros2 node list	inventory-artifacts/20260923T004022Z/commands/0007-sourceoptroshumblesetup.bashsourcehomerpprpp_wsi.txt	0	2026-09-23T00:41:15Z
8	source /opt/ros/humble/setup.bash; source /home/rpp/rpp_ws/install/setup.bash; timeout 10s ros2 topic list -v	inventory-artifacts/20260923T004022Z/commands/0008-sourceoptroshumblesetup.bashsourcehomerpprpp_wsi.txt	0	2026-09-23T00:41:17Z
9	source /opt/ros/humble/setup.bash; source /home/rpp/rpp_ws/install/setup.bash; timeout 10s ros2 service list -v	inventory-artifacts/20260923T004022Z/commands/0009-sourceoptroshumblesetup.bashsourcehomerpprpp_wsi.txt	2	2026-09-23T00:41:17Z
10	source /opt/ros/humble/setup.bash; source /home/rpp/rpp_ws/install/setup.bash; timeout 10s ros2 action list -v	inventory-artifacts/20260923T004022Z/commands/0010-sourceoptroshumblesetup.bashsourcehomerpprpp_wsi.txt	2	2026-09-23T00:41:18Z
